game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=mlnzekjl; 2lg396np=4lxz9212; 2lg7k6lp=gq7282n1,PlayStation 4,45m 20.300s,https://www.youtube.com/watch?v=7hAwEdGhHAc?feature=share&t=2647,,co-op,2023-02-01,3,Jakedirt01,WelcomeTwoHeck,MegaK520,,http://www.speedrun.com/bo3zombies/run/m7260v4z,verified
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=4qyj782q; 2lg396np=4lxz9212; 2lg7k6lp=gq7282n1,PlayStation 4,40m 7.850s,https://www.youtube.com/watch?v=z329Qs2Fepw?feature=share&t=1010,,co-op,2023-02-01,3,Jakedirt01,WelcomeTwoHeck,MegaK520,,http://www.speedrun.com/bo3zombies/run/y96v8eky,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=klryxymq; 2lg396np=814jp01d; p85pd5lg=rqvvk45q,PlayStation 4,43m 53.783s,https://www.youtube.com/watch?v=pQ7nFhTn_00,,co-op,2023-02-01,4,Jakedirt01,WelcomeTwoHeck,Combsy,HeadHunter1370,http://www.speedrun.com/bo3zombies/run/zg2p24jy,verified
Call of Duty: Black Ops III Zombies,,Zetsubou No Shima,wlex34k8=klryxymq; 2lg396np=4lxz9212; p85pd5lg=rqvvk45q,PlayStation 4,50m 45.250s,https://youtu.be/GdSb3pAVNCM,,co-op,2021-10-23,3,nodtomediocrity,Jakedirt01,HoratioCaine04,,http://www.speedrun.com/bo3zombies/run/y27nkv9z,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=mln3grdq; 5lyjm0yl=5leewrzl; kn0zwr38=8107235l,PlayStation 4,53m 18.800s,https://www.youtube.com/watch?v=PrTT19vkoBY,,co-op,2023-02-01,3,Jakedirt01,WelcomeTwoHeck,MegaK520,,http://www.speedrun.com/bo4zombies/run/z5e2plnz,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=zqon2w4l; 5lyjm0yl=5leewrzl; 0nw2z6xn=p12z4ev1,PlayStation 4,44m 7.120s,https://www.youtube.com/watch?v=y3DK789qG9g,,co-op,2022-06-11,3,Jakedirt01,HoratioCaine04,big_man_chrisQTR,,http://www.speedrun.com/bo4zombies/run/zq72r41m,verified
Call of Duty: Black Ops IIII Zombies,,IX,ylpvd4vl=81w8rw61; 5lyjm0yl=rqvmnpwq; 0nw2z6xn=p12z4ev1,PlayStation 4,50m 36.000s,https://www.youtube.com/watch?v=Fp3CliCgI5A,,co-op,2022-02-18,2,Jakedirt01,HoratioCaine04,,,http://www.speedrun.com/bo4zombies/run/zn7g80lm,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=mln3grdq; 5lyjm0yl=rqvmnpwq; kn0zwr38=9qjdpjgq,PlayStation 4,3m 52.000s,https://youtu.be/fCsm8iiMNnk?t=155,,co-op,2021-11-15,2,Jakedirt01,nodtomediocrity,,,http://www.speedrun.com/bo4zombies/run/yvq7gqem,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=5q8zn5kq; 5lyjm0yl=rqvmnpwq; kn0zwr38=9qjdpjgq,PlayStation 4,3m 36.750s,https://youtu.be/fCsm8iiMNnk?t=608,,co-op,2021-11-15,2,Jakedirt01,nodtomediocrity,,,http://www.speedrun.com/bo4zombies/run/zp2oq9ry,verified
Call of Duty: Black Ops IIII Zombies,,Dead of the Night,6njqrjpl=4qy4k37q; 5lyjm0yl=rqvmnpwq; kn0zwr38=9qjdpjgq,PlayStation 4,4m 9.730s,https://youtu.be/fCsm8iiMNnk?t=1093,,co-op,2021-11-15,2,Jakedirt01,nodtomediocrity,,,http://www.speedrun.com/bo4zombies/run/y8jgq8nz,verified
Call of Duty: Black Ops IIII Zombies,,Blood of the Dead,0nw2zqkn=5le8vz6l; 5lyjm0yl=rqvmnpwq; 789k790l=gq7gzerq,PlayStation 4,9m 1.740s,https://youtu.be/fCsm8iiMNnk?t=1660,,co-op,2021-11-15,2,Jakedirt01,nodtomediocrity,,,http://www.speedrun.com/bo4zombies/run/ydw4q10m,verified
