game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 5.680s,https://youtu.be/4BoUfrqvpPw,,solo,2020-06-15,1,voqei,,,,http://www.speedrun.com/bo3zombies/run/y90x6jry,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=5lmg2gml; 2lg396np=5leo55qo; gnx65jnv=rqv6zd7l,PC,2m 6.020s,https://youtu.be/7aXA0DhjN2A,,solo,2020-06-15,1,voqei,,,,http://www.speedrun.com/bo3zombies/run/y25ejn7y,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,57.370s,https://youtu.be/KM08fn100_Q,,solo,2020-06-15,1,voqei,,,,http://www.speedrun.com/bo3zombies/run/m35xl86y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=jq6yg731,PC,2m 45.900s,https://youtu.be/98R0FG9HCfs,,co-op,2020-06-15,2,pxnk,voqei,,,http://www.speedrun.com/bo3zombies/run/zprdg7rm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 25.098s,https://youtu.be/yacK52vAfHE,,solo,2020-06-14,1,voqei,,,,http://www.speedrun.com/bo3zombies/run/znkqpnlz,rejected
